NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY	KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY		24	0.37432462	0.8393133	0.7956504	0.99909806	1.0	3111	tags=54%, list=48%, signal=103%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES		14	0.3956882	0.8383816	0.75816464	0.9932638	1.0	2814	tags=50%, list=43%, signal=88%	
KEGG_GRAFT_VERSUS_HOST_DISEASE	KEGG_GRAFT_VERSUS_HOST_DISEASE		9	0.42029753	0.83636844	0.74188465	0.989398	1.0	932	tags=22%, list=14%, signal=26%	
KEGG_PPAR_SIGNALING_PATHWAY	KEGG_PPAR_SIGNALING_PATHWAY		24	0.373362	0.83556825	0.80296355	0.983513	1.0	2255	tags=42%, list=35%, signal=63%	
KEGG_PROSTATE_CANCER	KEGG_PROSTATE_CANCER		42	0.3568703	0.83125573	0.8603	0.9835586	1.0	3336	tags=60%, list=51%, signal=121%	
KEGG_MELANOMA	KEGG_MELANOMA		33	0.36121663	0.82839	0.84358436	0.9811505	1.0	2665	tags=45%, list=41%, signal=76%	
KEGG_TRYPTOPHAN_METABOLISM	KEGG_TRYPTOPHAN_METABOLISM		9	0.41589794	0.8279809	0.74926287	0.97479033	1.0	944	tags=22%, list=14%, signal=26%	
KEGG_MTOR_SIGNALING_PATHWAY	KEGG_MTOR_SIGNALING_PATHWAY		16	0.38348675	0.822383	0.78451145	0.9765288	1.0	3111	tags=56%, list=48%, signal=107%	
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION	KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION		75	0.33775577	0.81360126	0.9358	0.9828577	1.0	2176	tags=29%, list=33%, signal=44%	
KEGG_ARACHIDONIC_ACID_METABOLISM	KEGG_ARACHIDONIC_ACID_METABOLISM		17	0.3748876	0.81286067	0.8071025	0.9770595	1.0	1023	tags=18%, list=16%, signal=21%	
KEGG_ENDOMETRIAL_CANCER	KEGG_ENDOMETRIAL_CANCER		23	0.36011136	0.80298275	0.84301746	0.9840789	1.0	3139	tags=52%, list=48%, signal=100%	
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM	KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM		11	0.38715798	0.79541475	0.8024781	0.98746556	1.0	2241	tags=36%, list=34%, signal=55%	
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION	KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION		42	0.34058744	0.7947774	0.9032	0.9815239	1.0	2969	tags=43%, list=46%, signal=78%	
KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT	KEGG_SNARE_INTERACTIONS_IN_VESICULAR_TRANSPORT		18	0.36304167	0.7895282	0.8391221	0.9816669	1.0	1491	tags=28%, list=23%, signal=36%	
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS	KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS		5	0.44145304	0.7848112	0.79152644	0.9808835	1.0	2140	tags=40%, list=33%, signal=59%	
KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION	KEGG_ALDOSTERONE_REGULATED_SODIUM_REABSORPTION		17	0.35520455	0.76854753	0.8581796	0.99298817	1.0	3111	tags=59%, list=48%, signal=112%	
KEGG_RIBOSOME	KEGG_RIBOSOME		84	0.31533864	0.7641392	0.9779	0.991111	1.0	3273	tags=50%, list=50%, signal=99%	
KEGG_AUTOIMMUNE_THYROID_DISEASE	KEGG_AUTOIMMUNE_THYROID_DISEASE		10	0.37721652	0.76147217	0.8329878	0.9873421	1.0	2789	tags=50%, list=43%, signal=87%	
KEGG_SMALL_CELL_LUNG_CANCER	KEGG_SMALL_CELL_LUNG_CANCER		32	0.32980642	0.75442904	0.92286915	0.98804885	1.0	3204	tags=44%, list=49%, signal=86%	
KEGG_GALACTOSE_METABOLISM	KEGG_GALACTOSE_METABOLISM		10	0.3736133	0.7527243	0.84361327	0.98319227	1.0	430	tags=10%, list=7%, signal=11%	
KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM	KEGG_AMINO_SUGAR_AND_NUCLEOTIDE_SUGAR_METABOLISM		17	0.34336686	0.74434566	0.88388723	0.98483086	1.0	2319	tags=29%, list=36%, signal=46%	
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS	KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS		6	0.39808258	0.73611027	0.8502002	0.9859144	1.0	2072	tags=33%, list=32%, signal=49%	
KEGG_RETINOL_METABOLISM	KEGG_RETINOL_METABOLISM		16	0.33035752	0.7106502	0.9038539	1.0	1.0	3998	tags=69%, list=61%, signal=177%	
KEGG_TYPE_II_DIABETES_MELLITUS	KEGG_TYPE_II_DIABETES_MELLITUS		21	0.32177746	0.7101832	0.92213523	0.99413854	1.0	2529	tags=33%, list=39%, signal=54%	
KEGG_GLYCEROLIPID_METABOLISM	KEGG_GLYCEROLIPID_METABOLISM		15	0.3280605	0.70074934	0.91006684	0.99460447	1.0	2297	tags=33%, list=35%, signal=51%	
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS	KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS		15	0.32782674	0.69992846	0.9122346	0.9889104	1.0	1318	tags=20%, list=20%, signal=25%	
KEGG_GNRH_SIGNALING_PATHWAY	KEGG_GNRH_SIGNALING_PATHWAY		33	0.30434608	0.6994267	0.9615885	0.9830635	1.0	2665	tags=36%, list=41%, signal=61%	
KEGG_ADHERENS_JUNCTION	KEGG_ADHERENS_JUNCTION		27	0.30388346	0.6846066	0.9574617	0.9864877	1.0	3311	tags=52%, list=51%, signal=105%	
KEGG_O_GLYCAN_BIOSYNTHESIS	KEGG_O_GLYCAN_BIOSYNTHESIS		10	0.33874747	0.6835921	0.9055937	0.98103505	1.0	3743	tags=70%, list=57%, signal=164%	
KEGG_NITROGEN_METABOLISM	KEGG_NITROGEN_METABOLISM		7	0.35848793	0.6822638	0.8989657	0.9758291	1.0	3975	tags=57%, list=61%, signal=146%	
KEGG_LONG_TERM_DEPRESSION	KEGG_LONG_TERM_DEPRESSION		29	0.29495916	0.67135733	0.96638656	0.9761072	1.0	3183	tags=48%, list=49%, signal=94%	
KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE	KEGG_GLYCOSAMINOGLYCAN_BIOSYNTHESIS_KERATAN_SULFATE		7	0.33941275	0.64794093	0.92543954	0.9819489	1.0	2814	tags=43%, list=43%, signal=75%	
KEGG_THYROID_CANCER	KEGG_THYROID_CANCER		9	0.30292138	0.6027532	0.9586214	0.9934511	1.0	4074	tags=78%, list=62%, signal=207%	
KEGG_AXON_GUIDANCE	KEGG_AXON_GUIDANCE		53	0.2525439	0.5988369	0.9983	0.98874784	1.0	2956	tags=32%, list=45%, signal=58%	
KEGG_ETHER_LIPID_METABOLISM	KEGG_ETHER_LIPID_METABOLISM		10	0.28850996	0.58492154	0.9655461	0.9867462	1.0	2167	tags=30%, list=33%, signal=45%	
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES	KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES		6	0.25014454	0.462855	0.9983302	0.99814737	1.0	4579	tags=83%, list=70%, signal=280%	
